"cnh_cd"|"cohort"|"category_cohort"|"n_unique_episode"|"mediana_edad"|"iqr_age"|"n_mujeres"|"n_exitus"|"mediana_los"|"asa_cd_1"|"asa_cd_2"|"asa_cd_3"|"asa_cd_4"|"asa_cd_5"|"asa_cd_6"|"brs_bl"|"eras_recovery_bl"|"aids_bl"|"ami_bl"|"chf_bl"|"ckd_bl"|"copd_bl"|"ctp_bl"|"cvd_bl"|"dementia_bl"|"hemiplegia_bl"|"leuk_bl"|"lymph_bl"|"mildliver_bl"|"mtx_bl"|"orgdiab_bl"|"peptic_bl"|"pvd_bl"|"severeliver_bl"|"tumor_bl"|"uncdiab_bl"|"akic_bl"|"amic_bl"|"anastomotic_breakdown_bl"|"ardsc_bl"|"arrythc_bl"|"bloodinfc_bl"|"cardiacc_bl"|"cpec_bl"|"deliriumc_bl"|"dvtc_bl"|"gastroc_bl"|"ileusc_bl"|"myoinfc_bl"|"pneumc_bl"|"postophemc_bl"|"pulmemb_bl"|"ssinfc_bl"|"strokec_bl"|"transfaec_bl"|"uncinfc_bl"|"utic_bl"|"aids_bl_elix"|"alcohol_bl_elix"|"anemdef_bl_elix"|"autoimmune_bl_elix"|"bldloss_bl_elix"|"cancer_leuk_bl_elix"|"cancer_lymph_bl_elix"|"cancer_mets_bl_elix"|"cancer_nsitu_bl_elix"|"cancer_solid_bl_elix"|"cbvd_poa_bl_elix"|"cbvd_sqla_bl_elix"|"coag_bl_elix"|"dementia_bl_elix"|"depress_bl_elix"|"diab_cx_bl_elix"|"diab_uncx_bl_elix"|"drug_abuse_bl_elix"|"hf_bl_elix"|"htn_cx_bl_elix"|"htn_uncx_bl_elix"|"liver_mld_bl_elix"|"liver_sev_bl_elix"|"lung_chronic_bl_elix"|"neuro_movt_bl_elix"|"neuro_oth_bl_elix"|"neuro_seiz_bl_elix"|"obese_bl_elix"|"paralysis_bl_elix"|"perivasc_bl_elix"|"psychoses_bl_elix"|"pulmcirc_bl_elix"|"renlfl_mod_bl_elix"|"renlfl_sev_bl_elix"|"thyroid_hypo_bl_elix"|"thyroid_oth_bl_elix"|"ulcer_peptic_bl_elix"|"valve_bl_elix"|"wghtloss_bl_elix"
"Hospital B"|"hist_no_onco"|"CIR_PROG"|118|46.0|6.0|118|0|1.4365|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|0|0|0|0|1|2|0|0|0|0|0|1|0|0|0|0|0|0|6|0|0|1|0|0|0|0|0|0|1|0|1|0|0|1|0|0|0|0|0|1|0|1|14|4|2|0|0|0|1|0|0|0|2|0|8|0|6|2|0|0|13|3|0|10|1|1|3|16|0|0|0|0|0|0|9|1|0|1|0
"Hospital B"|"ffem"|"CIR_URG"|1263|85.0|13.0|860|0|10.756|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|0|0|230|44|155|13|3|376|2|9|8|33|15|25|5|36|0|64|284|139|6|5|0|11|20|3|17|105|0|4|8|1|9|5|5|2|1|2|14|93|0|36|271|48|0|9|12|15|1|62|19|19|35|376|190|40|270|10|237|421|434|73|15|224|60|323|15|60|20|63|21|20|319|46|145|35|6|96|481
"Hospital B"|"ncra"|"CIR_ONCO"|52|75.0|17.25|20|0|8.2915|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|0|0|4|0|8|1|0|2|0|1|2|4|2|1|0|2|0|52|10|4|0|17|0|0|2|0|2|0|0|0|13|0|2|0|0|3|0|0|0|1|0|4|3|3|0|1|2|2|0|3|0|0|1|2|3|1|9|1|6|11|22|5|2|10|0|0|1|6|0|3|0|0|7|2|3|0|0|1|0
"Hospital C"|"cist_radical"|"CIR_PROG"|7|76.0|15.5|2|0|6.747|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|0|0|1|1|1|0|0|0|0|0|0|0|3|0|0|0|0|7|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|3|1|0|0|0|0|0|0|1|1|0|1|3|3|1|0|1|0|0|0|0|0|0|0|0|1|1|1|0|0|1|0
"Hospital C"|"pcad"|"CIR_PROG"|314|68.5|17.0|141|2|4.1735|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|1|1|11|2|26|6|0|7|0|5|0|14|3|8|0|1|1|11|55|0|0|0|0|1|1|0|0|3|0|0|0|0|1|1|2|0|0|0|0|0|1|16|7|14|6|5|0|3|0|10|2|0|5|7|4|9|50|5|5|21|126|16|3|33|4|3|2|48|0|7|1|5|13|5|29|3|0|12|0
"Hospital C"|"prod"|"CIR_PROG"|323|73.0|11.0|221|0|4.307|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|0|0|5|1|21|5|0|6|0|0|0|13|1|6|0|5|0|1|50|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|2|0|0|4|6|9|3|0|0|1|0|1|0|1|0|6|3|9|48|1|3|23|177|17|1|31|5|1|1|58|1|6|2|2|13|3|29|7|0|9|0
"Hospital C"|"hdig"|"PROC_MED"|2|77.0|4.0|1|0|40.1475|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|1|1
"Hospital C"|"hist_onco"|"CIR_ONCO"|113|66.0|20.0|113|0|2.863|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|0|0|2|0|4|1|0|1|0|0|0|5|4|2|0|0|0|113|16|0|0|2|0|0|0|0|0|0|0|0|3|0|0|0|0|1|0|0|1|1|0|1|1|3|6|0|0|4|0|1|0|1|0|1|0|2|16|1|1|9|45|7|0|11|2|0|2|43|1|1|2|2|8|0|17|2|0|4|1
"Hospital C"|"ncra"|"CIR_ONCO"|108|74.0|14.25|39|0|7.7135|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|0|0|7|0|22|5|0|2|0|1|1|13|4|6|0|4|0|108|26|1|0|15|0|1|0|0|0|0|0|0|8|0|1|0|0|2|1|0|0|4|0|14|8|6|10|1|2|4|0|12|0|0|2|2|4|8|22|0|5|13|49|15|2|26|0|1|2|11|0|9|0|3|6|0|5|1|0|6|1
"Hospital C"|"ncrl"|"CIR_ONCO"|241|72.0|14.0|104|1|5.794|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|0|0|6|1|29|1|1|3|1|1|1|15|5|10|1|9|0|241|52|2|0|12|0|3|0|0|0|0|0|0|6|0|0|1|0|2|0|0|4|0|0|15|19|6|18|1|2|5|0|20|2|2|3|3|8|11|48|1|1|13|118|19|2|32|1|1|6|19|4|12|1|6|15|2|21|1|1|14|2
"Hospital C"|"icv"|"CIR_PROG"|332|69.0|13.0|166|7|10.096|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|0|0|79|1|25|1|1|3|0|1|1|4|0|13|2|21|0|4|65|27|2|3|4|82|5|0|7|6|0|0|1|4|4|0|1|6|2|0|4|28|0|17|13|7|12|1|1|0|0|4|10|0|23|3|8|15|64|2|35|39|176|6|0|42|1|10|9|51|6|33|2|56|15|1|30|4|2|138|1
"Hospital C"|"ffem"|"CIR_URG"|717|84.0|12.0|480|28|11.661|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|2|0|81|45|96|12|3|190|2|2|2|19|16|75|2|9|0|42|154|66|2|0|0|11|5|1|20|66|0|4|3|2|7|2|7|6|2|0|3|30|2|28|216|33|36|2|3|16|1|38|12|11|24|190|12|110|113|4|68|231|279|36|4|130|40|97|18|52|14|35|15|34|143|46|74|22|3|58|178
"Hospital C"|"hist_no_onco"|"CIR_PROG"|70|48.0|7.0|70|0|3.033|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|"NA"|0|0|1|1|1|1|0|0|0|0|0|1|0|0|0|0|0|1|3|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|3|4|10|0|0|0|0|1|0|0|2|0|1|0|3|1|0|1|12|1|0|4|0|0|0|25|0|0|1|1|0|1|6|4|0|0|0
